
HODGSON RUSS LLP,380,287,75,554
DOLBY LABORATORIES INC,291,287,98,483
BOTOS CHURCHILL IP LAW LLP,301,286,95,520
AMPACC LAW GROUP PLLC,317,285,89,591
CATERPILLAR INC,300,284,94,606
MCDERMOTT WILL & EMERY LLP,364,282,77,477
LOZA & LOZA LLP,306,279,91,591
KINNEY & LANGE PA,304,278,91,541
MURPHY BILAK & HOMILLER,304,278,91,606
HUNTON ANDREWS KURTH LLP,316,277,87,539
LEASON ELLIS LLP,320,277,86,562
THOMAS | HORSTEMEYER LLP,338,276,81,579
JOHNSON & JOHNSON,304,273,89,614
KAUFHOLD DIX PATENT LAW,403,269,66,605
ROTHWELL FIGG ERNST & MANBECK PC,297,264,88,566
LEONG C LEI,311,264,84,371
STAAS & HALSEY LLP,317,264,83,647
ZHIGANG MA,275,263,95,329
TUCKER ELLIS LLP,305,263,86,595
NEAL GERBER & EISENBERG LLP,277,263,94,521
SPRINKLE IP LAW GROUP,266,263,98,523
MOORE & VAN ALLEN PLLC,289,260,89,608
RABIN & BERDO PC,304,258,84,610
BAYES PLLC,290,258,88,568
HUAWEI TECHNOLOGIES,292,258,88,635
QUINN IP LAW,277,255,92,601
FROST BROWN TODD LLP,291,254,87,542
SAGE PATENT GROUP,278,254,91,594
ROSENBERG KLEIN & LEE,291,253,86,559
THE PROCTER & GAMBLE COMPANY,306,253,82,533
FINNEGAN,270,253,93,556
KELLER PREECE PLLC,284,252,88,570
REISING ETHINGTON PC,276,251,90,521
HEWLETT PACKARD ENTERPRISE,258,251,97,618
THE NIELSEN COMPANY (US) LLC,263,250,95,517
HOWARD & HOWARD ATTORNEYS PLLC,273,250,91,544
W&G LAW GROUP,265,250,94,563
CALFEE HALTER & GRISWOLD LLP,277,248,89,577
PANITCH SCHWARZE BELISARIO & NADEL LLP,276,248,89,459
PARATUS LAW GROUP PLLC,279,245,87,608
IPPIVOT IP AGENCY,303,245,80,333
HUSCH BLACKWELL LLP,283,244,86,532
PHILIPS,287,243,84,634
TREYZ LAW GROUP,252,241,95,535
WILLIAM PARK & ASSOCIATES LTD,251,238,94,608
LI & CAI INTELLECTUAL PROPERTY(USA) OFFICE,258,237,91,591
BRAKE HUGHES BELLERMANN LLP,269,235,87,562
OFINNO LLC,236,235,99,506
SCHOX PC,295,234,79,433
SCHWABE WILLIAMSON & WYATT PC,238,233,97,547
CATHERINE ANNE WHEALY,233,232,99,274
KED & ASSOCIATES LLP,247,232,93,533
RYAN MASON & LEWIS LLP,228,228,100,651
JACKSON WALKER LLP,243,227,93,608
SIGNIFY HOLDING BV,250,226,90,572
NITIN KAUSHIK,251,225,89,312
VIVACQUA CRANE,244,224,91,652
JONES DAY,296,223,75,526
THE FARRELL LAW FIRM PC,226,223,98,612
TAROLLI SUNDHEIM COVELL & TUMMINO LLP,262,220,83,625
SQUIRE PB,257,220,85,560
FOLEY HOAG LLP,289,220,76,543
KUNZLER BEAN & ADAMSON,253,218,86,569
WARNER NORCROSS + JUDD LLP,233,218,93,528
KENNEDY LENART SPRAGGINS LLP,242,218,90,564
BOZICEVIC FIELD & FRANCIS LLP,276,217,78,493
DORITY & MANNING P.A.,237,217,91,620
LERNER GREENBERG STEMER LLP,256,217,84,666
SUGHRUE,220,216,98,618
MH2 TECHNOLOGY LAW GROUP LLP,236,214,90,581
SUITER SWANTZ PC LLO,219,213,97,620
DENTONS US LLP,301,213,70,573
3M INNOVATIVE PROPERTIES COMPANY,271,212,78,548
GETZ BALICH LLC,214,210,98,561
WITHROW & TERRANOVA PLLC,235,207,88,620
PVIP,215,206,95,566
QQW-2,236,204,86,334
HOLTZ HOLTZ & VOLEK PC,222,203,91,602
STEIN IP LLC,229,200,87,516
WEISBERG IP LAW PA,218,200,91,544
SYNCODA LLC,219,199,90,688
COZEN O'CONNOR,219,198,90,617
KENEALY VAIDYA LLP,213,198,92,576
COWAN LIEBOWITZ & LATMAN PC,209,198,94,590
POLSINELLI,209,197,94,603
MCGARRY BAIR PC,212,195,91,547
AKERMAN LLP,208,195,93,487
RUN8 PATENT GROUP LLC,241,193,80,461
ROBINSON INTELLECTUAL PROPERTY LAW OFFICE PC,203,193,95,514
DLA PIPER LLP US,203,191,94,494
SINORICA LLC,281,190,67,485
ARENT FOX LLP,207,190,91,613
WEISS & ARONS LLP,195,188,96,468
HOFFMAN WARNICK LLC,218,188,86,551
VORYS SATER SEYMOUR & PEASE LLP,214,185,86,505
ANDRUS INTELLECTUAL PROPERTY LAW LLP,199,183,91,582
ARCH & LAKE LLP,188,183,97,589
BRIDGEWAY IP LAW GROUP PLLC,200,182,91,467
HARNESS DICKEY & PIERCE-ALTRIA,182,182,100,556
CROWE & DUNLEVY,187,181,96,604
FLASTER GREENBERG PC,190,181,95,499
AMSTER ROTHSTEIN & EBENSTEIN LLP,201,180,89,547
IPSPEEDY INTELLECTUAL PROPERTY INC,226,179,79,406
KAPLAN BREYER SCHWARZ LLP,212,179,84,301
MAGINOT MOORE & BECK LLP,211,178,84,672
THOMPSON HINE LLP,199,176,88,607
